CLIN,CLINTYPE,PROVIDER,PARTNUMBER,DISCOUNTCLASS,DISCOUNTSUBCLASS,MA,LISTPRICE,SEWPPRICE,ITEMDESC,TAAFLAG
1,P,"Tableau Software, Inc.",1,Software,Miscellaneous Software,A,100,100,Server-Web Client Interactor-License,NC
2,P,"Tableau Software, Inc.",2,Software,Miscellaneous Software,A,101,101,Server-Web Client Interactor-License,NC
3,P,"Tableau Software, Inc.",3,Software,Miscellaneous Software,A,102,102,Server-Web Client Interactor-License,NC
4,P,"Tableau Software, Inc.",4,Software,Miscellaneous Software,A,103,103,Server-Web Client Interactor-License,NC
5,P,"Tableau Software, Inc.",5,Software,Miscellaneous Software,A,104,104,Server-Web Client Interactor-License,NC
6,P,"Tableau Software, Inc.",6,Software,Miscellaneous Software,A,105,105,Server-Web Client Interactor-License,NC
7,P,"Tableau Software, Inc.",7,Software,Miscellaneous Software,A,106,106,Server-Web Client Interactor-License,NC
8,P,"Tableau Software, Inc.",8,Software,Miscellaneous Software,A,107,107,Server-Web Client Interactor-License,NC
9,P,"Tableau Software, Inc.",9,Software,Miscellaneous Software,A,108,108,Server-Web Client Interactor-License,NC
10,P,"Tableau Software, Inc.",10,Software,Miscellaneous Software,A,109,109,Server-Web Client Interactor-License,NC
